Opportunity ID,Account ID,StageName,IsClosed,IsWon,CreatedDate,Term in Months,Service,Opportunity Type,Product Group,Building ID,Market,Street Address,City,State,Postal Code,Network Proximity,On Zayo Network Status
Opp-000001,Acct-000007,Closed - Lost,true,false,7/1/16,12,,New Service,Ethernet,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
Opp-000002,Acct-000986,5 - Accepted,true,true,7/1/16,60,,New Service,Dark Fiber - Metro,Bldg-016855,Atlanta,300 Satellite Blvd NW,Suwanee,GA,30024,374.79,On Zayo Network
Opp-000002,Acct-000986,5 - Accepted,true,true,7/1/16,60,,New Service,Dark Fiber - Metro,Bldg-109003,Atlanta,305 Satellite Blvd NW,Suwanee,GA,30024,250.74,On Zayo Network
Opp-000003,Acct-000011,5 - Accepted,true,true,7/1/16,36,,New Service,Dark Fiber - Metro,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
Opp-000003,Acct-000011,5 - Accepted,true,true,7/1/16,36,,New Service,Dark Fiber - Metro,Bldg-038069,Atlanta,1100 Abernathy Rd NE,Atlanta,GA,30328,151.21,On Zayo Network
Opp-000004,Acct-000143,1 - Working,false,false,7/1/16,,,New Service,Ethernet,Bldg-038068,Atlanta,1055 Spring St NW,Atlanta,GA,30309,185.76,On Zayo Network
Opp-000005,Acct-000143,1 - Working,false,false,7/1/16,,,New Service,Wavelengths - Long Haul,Bldg-038068,Atlanta,1055 Spring St NW,Atlanta,GA,30309,185.76,On Zayo Network
Opp-000006,Acct-000011,1 - Working,false,false,7/1/16,,,New Service,Ethernet,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
Opp-000007,Acct-000011,3 - Committed,false,false,7/1/16,12,,New Service,Ethernet,Bldg-038069,Atlanta,1100 Abernathy Rd NE,Atlanta,GA,30328,151.21,On Zayo Network
Opp-000008,Acct-000191,Closed - Lost,true,false,7/1/16,,,New Service,Ethernet,Bldg-016856,Atlanta,1033 Jefferson St NW,Atlanta,GA,30318,539.41,On Zayo Network
Opp-000008,Acct-000191,Closed - Lost,true,false,7/1/16,,,New Service,Ethernet,Bldg-038242,Atlanta,5600 United Dr SE,Smyrna,GA,30082,426.83,On Zayo Network
Opp-000008,Acct-000191,Closed - Lost,true,false,7/1/16,,,New Service,Ethernet,Bldg-109081,Atlanta,5909 N Peachtree Rd,Dunwoody,GA,30338,225.67,On Zayo Network
Opp-000008,Acct-000191,Closed - Lost,true,false,7/1/16,,,New Service,Ethernet,Bldg-136838,Atlanta,1001 Summit Blvd NE,Atlanta,GA,30319,170.93,On Zayo Network
Opp-000009,Acct-000950,Closed - Lost,true,false,7/1/16,,,New Service,IP Services,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
Opp-000009,Acct-000950,Closed - Lost,true,false,7/1/16,,,New Service,IP Services,Bldg-015168,Denver,1850 Pearl St,Denver,CO,80203,103.07,On Zayo Network
Opp-000009,Acct-000950,Closed - Lost,true,false,7/1/16,,,New Service,IP Services,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
Opp-000010,Acct-000427,4 - Closed,true,true,7/1/16,36,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000011,Acct-000427,1 - Working,false,false,7/1/16,36,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000012,Acct-000034,1 - Working,false,false,7/2/16,36,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000012,Acct-000034,1 - Working,false,false,7/2/16,36,,New Service,Wavelengths - Long Haul,Bldg-108671,Denver,9706 E Easter Ave,Englewood,CO,80112,109.6,On Zayo Network
Opp-000012,Acct-000034,1 - Working,false,false,7/2/16,36,,New Service,Wavelengths - Long Haul,Bldg-140646,Denver,106 Inverness Circle E,Englewood,CO,80112,704.51,Not on Zayo Network
Opp-000013,Acct-000469,Closed - Lost,true,false,7/1/16,36,,New Service,Wavelengths - Metro,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000013,Acct-000469,Closed - Lost,true,false,7/1/16,36,,New Service,Wavelengths - Metro,Bldg-361118,Dallas,2800 Summit Ave,Plano,TX,75074,202.08,On Zayo Network
Opp-000014,Acct-000469,5 - Accepted,true,true,7/1/16,36,,New Service,Wavelengths - Metro,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network
Opp-000014,Acct-000469,5 - Accepted,true,true,7/1/16,36,,New Service,Wavelengths - Metro,Bldg-361118,Dallas,2800 Summit Ave,Plano,TX,75074,202.08,On Zayo Network
Opp-000015,Acct-000427,3 - Committed,false,false,7/1/16,60,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000016,Acct-000435,Closed - Lost,true,false,7/2/16,36,,New Service,Ethernet,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
Opp-000017,Acct-000938,Closed - Lost,true,false,7/2/16,36,,New Service,Wavelengths - Metro,Bldg-015500,Dallas,2300 W Plano Pkwy - Bldg C,Plano,TX,75075,657.46,On Zayo Network
Opp-000017,Acct-000938,Closed - Lost,true,false,7/2/16,36,,New Service,Wavelengths - Metro,Bldg-118244,Dallas,8 Campus Cir,Roanoke,TX,76262,479.98,On Zayo Network
Opp-000018,Acct-000938,5 - Accepted,true,true,7/2/16,60,,New Service,Wavelengths - Long Haul,Bldg-359461,Dallas,3001 Hackberry Rd,Irving,TX,75063,268.84,On Zayo Network
Opp-000019,Acct-000938,5 - Accepted,true,true,7/2/16,60,,New Service,Wavelengths - Metro,Bldg-015500,Dallas,2300 W Plano Pkwy - Bldg C,Plano,TX,75075,657.46,On Zayo Network
Opp-000019,Acct-000938,5 - Accepted,true,true,7/2/16,60,,New Service,Wavelengths - Metro,Bldg-359461,Dallas,3001 Hackberry Rd,Irving,TX,75063,268.84,On Zayo Network
Opp-000020,Acct-000056,Closed - Lost,true,false,7/5/16,12,,New Service,Wavelengths - Metro,Bldg-117680,Dallas,3000 Telecom Pkwy,Richardson,TX,75082,4830.93,On Zayo Network
Opp-000020,Acct-000056,Closed - Lost,true,false,7/5/16,12,,New Service,Wavelengths - Metro,Bldg-117872,Dallas,4500 Amon Carter Blvd,Fort Worth,TX,76155,85.33,On Zayo Network
Opp-000021,Acct-000019,3 - Committed,false,false,7/5/16,36,,New Service,Ethernet,Bldg-030642,Denver,393 Inverness Pkwy,Englewood,CO,80112,96.73,On Zayo Network
Opp-000022,Acct-000019,3 - Committed,false,false,7/5/16,36,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000022,Acct-000019,3 - Committed,false,false,7/5/16,36,,New Service,Ethernet,Bldg-030642,Denver,393 Inverness Pkwy,Englewood,CO,80112,96.73,On Zayo Network
Opp-000023,Acct-001119,1 - Working,false,false,7/5/16,36,,New Service,Ethernet,Bldg-111386,Denver,3431 N Windsor Dr,Aurora,CO,80011,779.17,On Zayo Network
Opp-000024,Acct-000019,3 - Committed,false,false,7/5/16,36,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000025,Acct-001120,5 - Accepted,true,true,7/6/16,36,,New Service,IP Services,Bldg-464044,Dallas,1430 E Southlake Blvd,Southlake,TX,76092,,Build in Progress
Opp-000026,Acct-000944,Closed - Lost,true,false,7/6/16,36,,New Service,Wavelengths - Metro,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000026,Acct-000944,Closed - Lost,true,false,7/6/16,36,,New Service,Wavelengths - Metro,Bldg-032157,Dallas,1500 E Plano Pkwy,Plano,TX,75074,251.92,Not on Zayo Network
Opp-000026,Acct-000944,Closed - Lost,true,false,7/6/16,36,,New Service,Wavelengths - Metro,Bldg-127057,Dallas,1649 W Frankford Rd,Carrollton,TX,75007,630.74,On Zayo Network
Opp-000026,Acct-000944,Closed - Lost,true,false,7/6/16,36,,New Service,Wavelengths - Metro,Bldg-137677,Dallas,6431 Longhorn Dr,Irving,TX,75063,338.03,On Zayo Network
Opp-000027,Acct-000116,1 - Working,false,false,7/6/16,,,New Service,Wavelengths - Long Haul,Bldg-108671,Denver,9706 E Easter Ave,Englewood,CO,80112,109.6,On Zayo Network
Opp-000028,Acct-000036,Closed - Lost,true,false,7/6/16,,,New Service,Wavelengths - Long Haul,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network
Opp-000029,Acct-000141,1 - Working,false,false,7/6/16,,,New Service,IP Services,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000029,Acct-000141,1 - Working,false,false,7/6/16,,,New Service,IP Services,Bldg-054666,Atlanta,1201 W Peachtree St NE,Atlanta,GA,30309,159.56,On Zayo Network
Opp-000029,Acct-000141,1 - Working,false,false,7/6/16,,,New Service,IP Services,Bldg-120365,Dallas,6900 Dallas Pkwy,Plano,TX,75024,114.78,On Zayo Network
Opp-000030,Acct-000038,1 - Working,false,false,7/6/16,5,,New Service,Dark Fiber - Metro,Bldg-111681,Denver,6900 S Peoria St,Centennial,CO,80112,244.81,On Zayo Network
Opp-000031,Acct-000448,5 - Accepted,true,true,7/6/16,93,,New Service,Dark Fiber - Metro,Bldg-109234,Denver,555 17th St,Denver,CO,80202,97.89,On Zayo Network
Opp-000032,Acct-001020,Closed - Lost,true,false,7/6/16,12,,New Service,Wavelengths - Long Haul,Bldg-038523,Atlanta,375 Riverside Pkwy,Lithia Springs,GA,30122,274.12,On Zayo Network
Opp-000033,Acct-000409,Closed - Lost,true,false,7/6/16,36,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network
Opp-000034,Acct-000382,1 - Working,false,false,7/6/16,12,,New Service,IP Services,Bldg-014141,Denver,4300 Brighton Blvd,Denver,CO,80216,247,On Zayo Network
Opp-000035,Acct-000604,5 - Accepted,true,true,7/6/16,12,,New Service,Ethernet,Bldg-016856,Atlanta,1033 Jefferson St NW,Atlanta,GA,30318,539.41,On Zayo Network
Opp-000035,Acct-000604,5 - Accepted,true,true,7/6/16,12,,New Service,Ethernet,Bldg-019879,Atlanta,2836 Peterson Pl NW,Norcross,GA,30071,2357.82,Not on Zayo Network
Opp-000036,Acct-000035,1 - Working,false,false,7/6/16,36,,New Service,Ethernet,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network
Opp-000037,Acct-000949,5 - Accepted,true,true,7/6/16,36,,New Service,IP Services,Bldg-117716,Dallas,6653 Pinecrest Dr,Plano,TX,75024,535.09,On Zayo Network
Opp-000038,Acct-000579,5 - Accepted,true,true,7/7/16,36,,New Service,Wavelengths - Long Haul,Bldg-078151,Denver,639 E 18th Ave,Denver,CO,80203,80.1,On Zayo Network
Opp-000039,Acct-000340,Closed - Lost,true,false,7/7/16,36,,New Service,Ethernet,Bldg-070187,Atlanta,760 Doug Davis Dr,Atlanta,GA,30354,153.79,On Zayo Network
Opp-000039,Acct-000340,Closed - Lost,true,false,7/7/16,36,,New Service,Ethernet,Bldg-434046,Atlanta,5295 Brook Hollow Pkwy,Norcross,GA,30071,122.02,Not on Zayo Network
